run_id,scenario_id,repetition,expected_result,actual_result,expectation_match,false_allow,false_denial,tool_calls_completed,retries_attempted,session_behavior,request_count,stopped_at
managed_151be15e456e50d7,S09,1,mixed,mixed,True,False,False,12,0,rotated,13,
managed_82b19592675cbfda,S09,2,mixed,mixed,True,False,False,12,0,rotated,13,
managed_adfff3d1c3d269a5,S09,3,mixed,mixed,True,False,False,12,0,rotated,13,
managed_180b53f9ce345f4f,S09,4,mixed,mixed,True,False,False,12,0,rotated,13,
managed_99602eb0962d374f,S09,5,mixed,deny,False,False,True,5,0,rotated,6,s1-write-b
managed_142e8e424ebd5da1,S09,6,mixed,mixed,True,False,False,12,0,rotated,13,
managed_c468838ebcf53da4,S09,7,mixed,mixed,True,False,False,12,0,rotated,13,
managed_0624d889975e38d3,S09,8,mixed,mixed,True,False,False,12,0,rotated,13,
managed_7244c185e6190ef6,S09,9,mixed,mixed,True,False,False,12,0,rotated,13,
managed_2242c940fd55519f,S09,10,mixed,mixed,True,False,False,12,0,rotated,13,
managed_ace68a5247baec27,S10,1,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_2a1bb61115d7cd29,S10,2,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_1fb17b5aaee77c58,S10,3,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_b24a4a55a2e28ee2,S10,4,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_edd7809bf1663ae9,S10,5,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_a734cd0e6a613b8e,S10,6,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_6da30d54c73fbce8,S10,7,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_a9ef63cd600b5719,S10,8,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_235a0be15a056398,S10,9,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_b32ad503dfa3e761,S10,10,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_a2117d8cf4a8a8da,S11,1,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_1d74d578a6f126be,S11,2,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_ce168f4dd69d150a,S11,3,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_6498c005f6800ca8,S11,4,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_7b3fac8c9888c390,S11,5,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_38439ac64a0da3b5,S11,6,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_ab7a44abafe05856,S11,7,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_6d5d474a0afc4d46,S11,8,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_3b110e0292a7f774,S11,9,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_783b14d6cb6985cb,S11,10,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
